"";"Dělník v ocelárně, odstraňování strusky";"0.768"
"";"Dělník v ocelárně, válcování plechů";"0.349"
"";"Elektrikář";"0.244"
"";"Hasič, lezení po žebříku, s hadicí";"0.768"
"";"Hasič, obecně (v akci)";"0.837"
"";"Herec v divadle, kulisák, práce na scéně...";"0.209"
"";"Kameník, betonář";"0.488"
"";"Kopáč, intenzivní úsilí";"0.628"
"";"Kopáč, kopání jámy";"0.593"
"";"Kopáč, lehčí úsilí";"0.419"
"";"Kopáč, střední úsilí";"0.488"
"";"Kožešnictví";"0.314"
"";"Krejčí, obecně";"0.174"
"";"Krejčí, stříhání";"0.174"
"";"Krejčí/švadlena, ruční šití";"0.14"
"";"Krejčí/švadlena, strojové šití";"0.174"
"";"Lesík, obecně";"0.558"
"";"Lesník, kácení stromů";"0.558"
"";"Lesník, loupání kůry";"0.488"
"";"Lesník, nošení kmenů";"0.768"
"";"Lesník, pletí";"0.279"
"";"Lesník, práce se sekerou, intenzivně,";"1.186"
"";"Lesník, práce se sekerou, lehce";"0.349"
"";"Lesník, řezání, ručně";"0.488"
"";"Lesník, řezání, strojově";"0.314"
"";"Lesník, sázení, ručně";"0.419"
"";"Luxování, lehké úsilí";"0.174"
"";"Luxování, střední úsilí";"0.209"
"";"Masér, ve stoje";"0.279"
"";"Metač, střední úsilí";"0.314"
"";"Nošení středních předmětů do schodů (8-15 kg)";"0.558"
"";"Nošení těžších předmětů, např. cihel";"0.558"
"";"Obráběč kovů, plechů";"0.174"
"";"Obrábění strojů, vrtání";"0.279"
"";"Obstarávání koní";"0.419"
"";"Opravy obuvi, obecně";"0.174"
"";"Pekař, lehké úsilí";"0.174"
"";"Pekař, obecně";"0.279"
"";"Pokojská";"0.174"
"";"Policista, řízení dopravy (vestoje)";"0.174"
"";"Policista, řízení policejního vozu (vsedě)";"0.14"
"";"Přestavba, rekonstrukce";"0.384"
"";"Psaní na stroji, na počítači";"0.105"
"";"Řidič nákladního vozu, nakládání a vykládání (vestoje)";"0.454"
"";"Soustružník";"0.209"
"";"Stavba silnic (odvoz suti, řízení těžké techniky)";"0.419"
"";"Stavba silnic (řízení dopravy)";"0.14"
"";"Stěhování, pohyb s těžkými předměty (30 a více kg)";"0.523"
"";"Svářeč";"0.209"
"";"Těžba uhlí, kamene, vrtání";"0.454"
"";"Těžba uhlí, kamene, vztyčování podpor";"0.454"
"";"Těžba uhlí, obecně";"0.419"
"";"Těžba uhlí, přemis»ování uhlí lopatou";"0.488"
"";"Tiskař (vestoje)";"0.16"
"";"Tkalcovství, obecně";"0.244"
"";"Truhlář, obecně";"0.244"
"";"Učitel tělesné výchovy (neúčastnící se sportu)";"0.279"
"";"Učitel tělesné výchovy (účastnící se sportu)";"0.454"
"";"Úklid koupelny, toalety..., lehčí úsilí";"0.174"
"";"Úklid, obecně";"0.244"
"";"Utírání prachu, lehké úsilí";"0.174"
"";"Vazač knih";"0.16"
"";"Zámečník";"0.244"
"";"Zemědělství, balíkování sena, čištění chléva, práce s drůbeží";"0.558"
"";"Zemědělství, krmení dobytku, koní";"0.314"
"";"Zemědělství, krmení malých zvířat";"0.279"
"";"Zemědělství, natahování vody";"0.314"
"";"Zemědělství, obstarávání dobytka, střední úsilí";"0.279"
"";"Zemědělství, péče o zvířata";"0.419"
"";"Zemědělství, ruční dojení, střední úsilí";"0.209"
"";"Zemědělství, řízení kombajnu, sklizeň obilí, zavlažování";"0.174"
"";"Zemědělství, řízení traktoru";"0.174"
"";"Zemědělství, strojové dojení, lehké úsilí";"0.105"
"";"Žokej, jízda na koni, chůze";"0.181"
"";"Žokej, závodění na koni, cval";"0.558"
"";"Žokej, závodění na koni, klus";"0.454"
"Běh, jogging";"";""
"";"Běh (10,5 km/h), km za 5,6 min.";"0.768"
"";"Běh (11,2 km/h), km za 5,3 min.";"0.802"
"";"Běh (12 km/h), km za 5 min.";"0.872"
"";"Běh (12,8 km/h), km za 4,7 min.";"0.942"
"";"Běh (13,8 km/h), km za 4,3 min.";"0.977"
"";"Běh (14,5 km/h), km za 4 min.";"1.047"
"";"Běh (16 km/h), km za 3,7 min.";"1.116"
"";"Běh (17 km/h), km za 3,4 min.";"1.256"
"";"Běh (8 km/h), km za 7,5 min.";"0.558"
"";"Běh (8,5 km/h), km za 7,2 min.";"0.628"
"";"Běh (9,5 km/h), km za 6,2 min.";"0.698"
"";"Běh do schodů";"1.047"
"";"Běh terénem";"0.628"
"";"Běh, na místě";"0.558"
"";"Běh, obecně";"0.558"
"";"Jogging, obecně";"0.488"
"";"Kombinace běhu a chůze (fáze běhu méně než 10 minut)";"0.419"
"Osobní hygiena, jídlo";"";""
"";"Česání účesu";"0.174"
"";"Čištění zubů, česání, holení, mytí u umyvadla (vestoje)";"0.174"
"";"Jezení (vsedě)";"0.105"
"";"Koupel (vsedě)";"0.14"
"";"Mluvení, jezení, (vestoje)";"0.14"
"";"Oblékání, svlékání (vsedě, vestoje)";"0.174"
"";"Sezení na záchodě";"0.07"
"";"Sprchování, utírání se (vestoje)";"0.279"
"Sexuální aktivity";"";""
"";"Intenzivní úsilí";"0.264"
"";"Lehké úsilí, líbání, objímání";"0.101"
"";"Střední úsilí";"0.174"
"Doprava";"";""
"";"Jízda autem (vsedě, cestující)";"0.07"
"";"Jízda autobusem (vsedě, cestující)";"0.07"
"";"Řízení automobilu, dodávky, transitu";"0.14"
"";"Řízení letadla";"0.14"
"";"Řízení motocyklu, motorky, skůtru";"0.174"
"";"Řízení nákladního automobilu, traktoru, autobusu";"0.209"
"Sport, sportovní hry";"";""
"";"Americký fotbal nebo basebal, chytání";"0.174"
"";"Americký fotbal, obecně";"0.558"
"";"Americký fotbal, soutěž";"0.628"
"";"Badminton, obecně, spíše rekreační";"0.314"
"";"Badminton, soutěžní";"0.488"
"";"Basketbal, na vozíčku";"0.454"
"";"Basketbal, střelba na koš";"0.314"
"";"Basketbal, tréning";"0.419"
"";"Basketbal, zápas";"0.558"
"";"Bojová umění - judo, karate, kick box, taek won do";"0.698"
"";"Bowling, kuželky";"0.209"
"";"Box, údery do boxovacího pytle";"0.419"
"";"Box, zápas v ringu";"0.837"
"";"Bruslení, in-line";"0.488"
"";"Dětské hry, obecně, na schovávanou, na honěnou...";"0.349"
"";"Fotbal, obecně, spíše rekreačně";"0.488"
"";"Fotbal, soutěž";"0.698"
"";"Frisbee, obecně";"0.209"
"";"Frisbee, soutěž";"0.244"
"";"Golf, motorový vozík";"0.002"
"";"Golf, nošení vozíku s holemi";"0.384"
"";"Golf, obecně";"0.314"
"";"Golf, odpalování míčku";"0.349"
"";"Gymnastika, obecně";"0.279"
"";"Házená, obecně";"0.837"
"";"Házená, tým";"0.558"
"";"Hod oštěpem";"0.174"
"";"Hokej, lední";"0.558"
"";"Hokej, pozemní";"0.558"
"";"Horolezectví, po skále";"0.768"
"";"Horolezectví, slaňování";"0.558"
"";"Jízda na koni, chůze";"0.174"
"";"Jízda na koni, klus";"0.454"
"";"Jízda na koni, obecně";"0.279"
"";"Jízda na koni, sedlání, hřebelcování koně...";"0.244"
"";"Kroket";"0.174"
"";"Kulečník";"0.174"
"";"Lakros";"0.558"
"";"Lukostřelba (sportovní, ne lov)";"0.244"
"";"Minigolf";"0.209"
"";"Motokros";"0.279"
"";"Orientační běh";"0.628"
"";"Ping pong, stolní tenis";"0.279"
"";"Ragby";"0.698"
"";"Skateboarding";"0.349"
"";"Softball nebo baseball, obecně";"0.349"
"";"Softball, nahazování";"0.419"
"";"Squash";"0.837"
"";"Šerm";"0.419"
"";"Tai či";"0.279"
"";"Tenis, čtyřhra";"0.419"
"";"Tenis, dvojhra";"0.558"
"";"Tenis, obecně";"0.488"
"";"Trenér- fotbal, basketbal, plavání...";"0.279"
"";"Veslování, obecně";"0.419"
"";"Veslování, soutěž";"0.698"
"";"Vodní pólo";"0.558"
"";"Volejbal, plážový";"0.558"
"";"Volejbal, rekreačně";"0.209"
"";"Volejbal, soutěž, v hale";"0.279"
"";"Zápas (1 zápas = 5 minut)";"0.419"
"Vodní aktivity";"";""
"";"Běh ve vodě";"0.558"
"";"Jízda v kajaku";"0.349"
"";"Jízda v motorovém člunu";"0.174"
"";"Kánoe, pádlování, intenzivní úsilí";"0.837"
"";"Kánoe, pádlování, lehké úsilí";"0.209"
"";"Kánoe, pádlování, obecně";"0.244"
"";"Kánoe, pádlování, střední úsilí";"0.488"
"";"Kánoe, pádlování, závodně";"0.837"
"";"Kánoe, rekreačně";"0.279"
"";"Plachtění na lodi, windsurfing, obecně";"0.209"
"";"Plachtění na lodi, závodně";"0.349"
"";"Plavání, kraul, pomalé, střední až lehké úsilí";"0.558"
"";"Plavání, kraul, rychlé, intenzivní úsilí";"0.768"
"";"Plavání, motýlek, obecně";"0.768"
"";"Plavání, synchronizované";"0.558"
"";"Plavání, v rybníce, v moři, v řece";"0.419"
"";"Plavání, volný styl, rychlé, intenzivní úsilí";"0.698"
"";"Plavání, volný styl, střední až lehké úsilí";"0.558"
"";"Plavání, znak, obecně";"0.698"
"";"Potápění, obecně";"0.209"
"";"Scuba diving - potápění, obecně";"0.488"
"";"Surfing";"0.209"
"";"Šlapání vody, rychle, intenzivní úsilí";"0.698"
"";"Šlapání vody, střední až lehké úsilí";"0.279"
"";"Šnorchlování";"0.349"
"";"Veslování v člunu";"0.279"
"";"Vodní lyže";"0.419"
"";"Vodní pólo";"0.698"
"Chůze";"";""
"";"Horská turistika, se zátěží 0 - 5 kg";"0.488"
"";"Horská turistika, se zátěží 10 - 20 kg";"0.558"
"";"Horská turistika, se zátěží 5 - 10 kg";"0.523"
"";"Horská turistika, se zátěží, více než 20 kg";"0.628"
"";"Chůze do kopce, 5,6 km/h";"0.419"
"";"Chůze po rovině, 3,2 km/h, nakupupování apod.";"0.174"
"";"Chůze po rovině, 4 km/h";"0.209"
"";"Chůze po rovině, rychlá, 5,6 km/h";"0.279"
"";"Chůze po rovině, střední rychlost, 5 km/h";"0.244"
"";"Chůze po rovině, velmi pomalá, do 3 km/h";"0.14"
"";"Chůze po rovině, velmi rychlá, 6,5 km/h";"0.419"
"";"Chůze s batohem, turistika, obecně";"0.488"
"";"Chůze z kopce, 4 km/h";"0.209"
"";"Chůze ze schodů";"0.209"
"";"Chůze, obecně, průměrně";"0.194"
"";"Lezení po horách";"0.558"
"";"Nakládání, vykládání auta";"0.349"
"";"Nošení dítětě/předmětu (7-8 kg) po rovině, nebo ze schodů";"0.244"
"";"Nošení nákladu do schodů, obecně";"0.628"
"";"Nošení předmětu/nákladu (1 - 8 kg) do schodů";"0.349"
"";"Nošení předmětu/nákladu (12 - 22 kg) do schodů";"0.558"
"";"Nošení předmětu/nákladu (22 - 33 kg) do schodů";"0.698"
"";"Nošení předmětu/nákladu (33 a více kg) do schodů";"0.837"
"";"Nošení předmětu/nákladu (8 - 12 kg) do schodů";"0.419"
"";"Pěší turistika";"0.419"
"";"Pochod, rychlý";"0.454"
"";"Procházení";"0.209"
"";"Tlačení invalidního vozíčka";"0.279"
"";"Tlačení kočárku s dítětem, chůze s dítětem";"0.174"
"";"Výstup po žebříku";"0.558"
"";"Závodní chůze";"0.454"
"Zimní aktivity";"";""
"";"Boby, obecně";"0.488"
"";"Bruslení, lední (14 km/h nebo méně)";"0.384"
"";"Bruslení, lední, rychlé, více než 15 km/h";"0.628"
"";"Brusleníl, lední, obecně";"0.488"
"";"Lyžování, běžky, 4 km/h, pomalé, rekreační";"0.488"
"";"Lyžování, běžky, 6 - 8 km/h, střední rychlost a úsilí, obecně";"0.558"
"";"Lyžování, běžky, 8 - 12,5 km/h, rychlé, intenzivní úsilí";"0.628"
"";"Lyžování, běžky, těžký sníh, do kopce, maximální úsilí";"1.151"
"";"Lyžování, běžky, více než 13 km/h, závodní";"0.977"
"";"Lyžování, obecně";"0.488"
"";"Lyžování, sjezdovky, intenzivní úsilí, závodní";"0.558"
"";"Lyžování, sjezdovky, lehké úsilí";"0.349"
"";"Lyžování, sjezdovky, střední úsilí, obecně";"0.419"
"";"Rychlobruslení, závodní";"1.047"
