"name";"energy";"protein";"fat";"sacharid";"cholesterol";"vlaknina";"unit";"amount";"idgroup"
"Karlovarský suchar dietní";"1540";"10";"2.2";"76";"0";"null";"g";"100";"44"
"Knäckebrot original";"1350";"9";"1.4";"67";"0";"14.6";"g";"100";"44"
"Křehký chléb Active";"1500";"9";"1.5";"70";"0";"5.5";"g";"100";"44"
"Křehký chléb Knuspi";"1380";"8.5";"1.7";"64.5";"0";"6.9";"g";"100";"44"
"Racio chlebíčky";"1600";"9.5";"2";"80";"0";"1.2";"g";"100";"44"
"Sladké pečivo - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Bábovka";"1620";"6";"21.1";"43.5";"166";"0.9";"g";"100";"45"
"Bábovka třená";"1520";"5.5";"16";"49.7";"null";"0.9";"g";"100";"45"
"Buchta - průměr";"1650";"8.5";"15";"58";"null";"null";"g";"100";"45"
"Croissant s čokoládou";"1710";"5.3";"26.4";"38";"80";"1.2";"g";"100";"45"
"Jablečný závin";"850";"2.5";"9";"28";"18";"2.1";"g";"100";"45"
"Kobliha cukrářská";"1790";"6.7";"21.4";"51.8";"150";"1";"g";"100";"45"
"Koláč makový";"1620";"7.6";"15.7";"54.6";"null";"null";"g";"100";"45"
"Koláč tvarohový";"1490";"9.9";"12";"52";"null";"null";"g";"100";"45"
"Loupáky s ořechovou náplní";"1629";"7";"15.8";"56";"null";"null";"g";"100";"45"
"Makovka";"1270";"8.5";"3.2";"60";"null";"null";"g";"100";"45"
"Mazanec máslový. vánočka";"1530";"7.4";"10.3";"60";"null";"null";"g";"100";"45"
"Pečivo čajové linecké";"2300";"7";"32.1";"59.2";"null";"null";"g";"100";"45"
"Piškotová roláda s džemem";"1140";"4.5";"2.3";"57.5";"null";"null";"g";"100";"45"
"Šáteček s náplní tvarohovou";"1680";"6";"13.6";"63.8";"null";"null";"g";"100";"45"
"Štola";"1650";"5.3";"20.4";"47.1";"350";"null";"g";"100";"45"
"Vanilková roláda";"1730";"6";"18";"55";"null";"1.1";"g";"100";"45"
"Vánočka obyč. (Delvita)";"1260";"7.4";"5.2";"56";"null";"null";"g";"100";"45"
"Vánočka tuková";"1460";"7.3";"8.6";"60.9";"null";"null";"g";"100";"45"
"Závin listový s jablky";"1650";"7";"15.8";"56";"18";"2.1";"g";"100";"45"
"Slané pečivo - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Bake Rolls";"1880";"12";"17";"62";"0";"null";"g";"100";"46"
"Crunchips - slané lupínky";"2220";"5.5";"35";"49";"0";"7";"g";"100";"46"
"Grahamové tyčinky";"1550";"12.6";"7.6";"64.4";"0";"null";"g";"100";"46"
"Chipsy - průměr ";"2100";"5.6";"25";"63";"0";"7";"g";"100";"46"
"Koktejlový mix - Party stars";"1850";"10.3";"14.8";"67";"37";"null";"g";"100";"46"
"Křupky";"2190";"17.5";"29.2";"47.9";"0";"null";"g";"100";"46"
"Raciolky snack se sníženým obsahem tuku";"1670";"11.4";"11.6";"61.7";"0";"null";"g";"100";"46"
"Slané pečivo cracker - průměr";"2200";"8.7";"30.6";"56";"37";"null";"g";"100";"46"
"Slané tyčinky - průměr";"1700";"10";"7.4";"73.1";"37";"null";"g";"100";"46"
"Škvarkové placky";"2240";"7.8";"35";"47";"null";"null";"g";"100";"46"
"Vitalinea slané krekry";"1690";"8.5";"9.7";"69.8";"0";"null";"g";"100";"46"
"Zlaté tyčinky sezamové";"1770";"10.7";"10.7";"72";"0";"null";"g";"100";"46"
"Zmrzlina - 1 ks";"null";"null";"null";"null";"null";"null";"g";"null";"null"
"Big Eskymo (Algida)";"1040";"2.9";"16.8";"22.4";"null";"0";"ks";"100";"47"
"Calippo (Algida)";"360";"0";"0";"21.2";"0";"0";"ks";"100";"47"
"Corneto čoko (Algida)";"840";"3.1";"15.1";"34.8";"null";"0";"ks";"100";"47"
"Ledňáček kakaový (Algida)";"370";"0.7";"6.1";"8.5";"null";"0";"ks";"50";"47"
"Magnum triple (Algida)";"1030";"4";"18.3";"31";"null";"0";"ks";"120";"47"
"Nanukový dort Terno kakaový (Nanuk) - 615 ml";"2830";"12.4";"41";"51";"null";"0";"ks";"400";"47"
"Nogger karamel (Algida)";"860";"1.4";"14.5";"17.2";"null";"0";"ks";"100";"47"
"Ovocná zmrz.- prům. - 100 g";"590";"1.5";"1.8";"29";"4";"0";"g";"100";"47"
"Pierot vaječný likér (Nanuk)";"620";"2.8";"8.2";"10.4";"null";"0";"ks";"50";"47"
"Polárk. sníh (Prima) - 350 ml";"2380";"14";"26";"70";"null";"0";"ks";"200";"47"
"Smetanová zmrzlina - průměr - 100 g";"1050";"1.6";"21.5";"13.6";"76";"0";"g";"100";"47"
"Tricky (Algida)";"220";"0";"0.1";"21.7";"0";"0";"ks";"100";"47"
"Tvaroháček (Algida)";"480";"1.1";"6.4";"13.4";"null";"0";"ks";"80";"47"
"Tvarohová tyčinka (Algida)";"450";"2.1";"6.7";"9.6";"null";"0";"ks";"50";"47"
"Twister (Algida)";"300";"0.4";"1.1";"14.9";"null";"0";"ks";"80";"47"
"Tuky";"null";"null";"null";"null";"null";"null";"g";"null";"null"
"Tuky živočišné - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Máslo";"3010";"1";"80.5";"0.6";"240";"0";"g";"100";"49"
"Máslo se smetan. zákysem";"2780";"1";"75";"1";"210";"0";"g";"100";"49"
"Pomazánkové máslo";"1360";"3.8";"31";"6.2";"93";"0";"g";"100";"49"
"Sádlo vepřové škvařené";"3750";"0.2";"99.5";"0";"94";"0";"g";"100";"49"
"Škvarky";"3090";"15.5";"75";"0";"70";"0";"g";"100";"49"
"Tuky rostlinné - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Alfa";"2620";"0.2";"70";"0.3";"0";"0";"g";"100";"50"
"Ceresoft";"3470";"0";"92";"2";"100";"0";"g";"100";"50"
"Creme Bonjour s okurkou";"1060";"5";"24.3";"4.2";"0";"0";"g";"100";"50"
"Creme Bonjur s paprikou";"1080";"5.1";"25";"4.1";"0";"0";"g";"100";"50"
"Finea garden";"2240";"1";"80";"1";"0";"0";"g";"100";"50"
"Finea light";"2050";"1";"55";"1";"0";"0";"g";"100";"50"
"Flora";"2600";"0.1";"70";"0.3";"0";"0";"g";"100";"50"
"Flora light";"1480";"0.1";"40";"0.3";"0";"0";"g";"100";"50"
"Flora pro activ";"1350";"0.1";"35";"3.2";"0";"0";"g";"100";"50"
"Hera";"2750";"0.1";"74";"0.3";"0";"0";"g";"100";"50"
"Oleje (všechny druhy)";"3700";"0";"100";"0";"0";"0";"g";"100";"50"
"Perla";"1480";"0";"40";"0";"0";"0";"g";"100";"50"
"Perla tip";"930";"0";"25";"0.1";"0";"0";"g";"100";"50"
"Planta - tuk na smažení";"3780";"0";"100";"0";"0";"0";"g";"100";"50"
"Pokrmový tuk na smažení";"3670";"0";"83.3";"0.2";"0";"0";"g";"100";"50"
"Rama";"2600";"0.1";"70";"0.3";"0";"0";"g";"100";"50"
"Rama cullinesse";"2750";"0";"74";"0";"0";"0";"g";"100";"50"
"Rama Harmonie";"1820";"0.5";"48";"0.9";"0";"0";"g";"100";"50"
"Švédské máslo Bremedium";"2250";"0.5";"60";"10";"null";"0";"g";"100";"50"
"Tuky směsné - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
